user_id,country,fetched_at
328243175,DE,2017-10-02
328243175,FR,2017-10-02
342300736,DE,2017-10-02
345157014,DE,2017-10-02
346612013,TR,2017-10-02
353066843,TR,2017-10-02
356388800,DE,2017-10-02
359058080,TR,2017-10-02
372179642,TR,2017-10-02
387813577,DE,2017-10-02
408759843,DE,2017-10-02
412086422,TR,2017-10-02
419658583,TR,2017-10-02
419660743,TR,2017-10-02
420542453,TR,2017-10-02
420629175,TR,2017-10-02
428741068,TR,2017-10-02
433462889,FR,2017-10-02
436240548,DE,2017-10-02
437436858,TR,2017-10-02
453467109,DE,2017-10-02
454388038,TR,2017-10-02
455830743,DE,2017-10-02
455830743,FR,2017-10-02
463851462,DE,2017-10-02
467715983,FR,2017-10-02
472334285,TR,2017-10-02
473865887,TR,2017-10-02
477889048,DE,2017-10-02
477889048,FR,2017-10-02
478170193,TR,2017-10-02
478808477,DE,2017-10-02
482838365,TR,2017-10-02
487834443,TR,2017-10-02
488018270,DE,2017-10-02
516971954,DE,2017-10-02
517775504,TR,2017-10-02
517971876,DE,2017-10-02
519149792,TR,2017-10-02
526110917,TR,2017-10-02
529559283,DE,2017-10-02
537948045,TR,2017-10-02
541302955,DE,2017-10-02
547185778,DE,2017-10-02
554626662,DE,2017-10-02
557635132,DE,2017-10-02
557931634,DE,2017-10-02
561100654,TR,2017-10-02
566273326,DE,2017-10-02
572906300,FR,2017-10-02
573854819,DE,2017-10-02
576052717,DE,2017-10-02
577483196,TR,2017-10-02
582276200,DE,2017-10-02
591403109,DE,2017-10-02
597769317,TR,2017-10-02
598748425,DE,2017-10-02
610008542,FR,2017-10-02
612754949,DE,2017-10-02
617874162,TR,2017-10-02
619772173,DE,2017-10-02
619772173,FR,2017-10-02
628545424,TR,2017-10-02
629715036,DE,2017-10-02
701962488,DE,2017-10-02
714083098,DE,2017-10-02
719362218,DE,2017-10-02
721816218,TR,2017-10-02
733696898,DE,2017-10-02
735086172,TR,2017-10-02
739498075,FR,2017-10-02
741869749,DE,2017-10-02
773092873,TR,2017-10-02
796815644,DE,2017-10-02
815002106,TR,2017-10-02
827421830,TR,2017-10-02
833234856,DE,2017-10-02
869922199,DE,2017-10-02
873482893,FR,2017-10-02
892929278,DE,2017-10-02
903757952,TR,2017-10-02
919599236,FR,2017-10-02
926782934,DE,2017-10-02
930286826,TR,2017-10-02
939773436,DE,2017-10-02
944288473,TR,2017-10-02
954124423,DE,2017-10-02
954124423,FR,2017-10-02
958020944,DE,2017-10-02
963106200,TR,2017-10-02
975876834,TR,2017-10-02
977033918,TR,2017-10-02
1012058653,TR,2017-10-02
1021095506,TR,2017-10-02
1024823059,DE,2017-10-02
1024823059,FR,2017-10-02
1042430628,DE,2017-10-02
1057632055,DE,2017-10-02
1076951184,TR,2017-10-02
1103715715,DE,2017-10-02
1112345178,FR,2017-10-02
1115175216,DE,2017-10-02
1135496646,DE,2017-10-02
1137779952,TR,2017-10-02
1169420605,TR,2017-10-02
1295749147,DE,2017-10-02
1311865598,DE,2017-10-02
1329815682,DE,2017-10-02
1354978568,FR,2017-10-02
1390628462,DE,2017-10-02
1407124214,DE,2017-10-02
1414568456,DE,2017-10-02
1414568456,FR,2017-10-02
1436356338,DE,2017-10-02
1447296895,FR,2017-10-02
1467566838,FR,2017-10-02
1468618784,DE,2017-10-02
1481526582,DE,2017-10-02
1493619222,FR,2017-10-02
1523542447,DE,2017-10-02
1536657750,TR,2017-10-02
1545592274,TR,2017-10-02
1554897007,DE,2017-10-02
1560924338,DE,2017-10-02
1561651699,TR,2017-10-02
1570217083,DE,2017-10-02
1587729661,DE,2017-10-02
1605836610,TR,2017-10-02
1618946898,DE,2017-10-02
